Category,Sms,cleaned_sms
trust,Nasikia Nasibu ameanza biashara ya magari. Jamaa anafanya kazi kweli.,nasikia nasibu ameanza biashara magari jamaa anafanya kazi kweli
scam,"Congratulations! Your CV has passed. You can get 4,000,000TZS in a day. for details: wa.me/2550676584303",congratulations your cv has passed you can get tzs in a day for details wame
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0782435667 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
trust,"Watoto wanahitaji matibabu, naomba unisaidie na hela kidogo.",watoto wanahitaji matibabu naomba unisaidie hela kidogo
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0782435667 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,Utanitumia kwa hîi HALOTEL 0689592818 j'ina ni Magomba Maila.,utanitumia hîi halotel jina magomba maila
trust,"Samahani nimechelewa kuwasiliana, nipo na kikao muda huu.",samahani nimechelewa kuwasiliana nipo kikao muda huu
scam,TUMIA NAMBA HII (0773409724)KUNITUMIA IYO HELA JINA LITAONYESHA (PETER NYANGE),tumia namba kunitumia iyo hela jina litaonyesha peter nyange
trust,Habari za jioni?,habari jioni
scam,"IYO PESA ITUME KWENYE NAMBA HII 0698018072 JINA ITALETA FEBU SHADI WILISON NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta febu shadi wilison nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,"Imethibitishwa, namba yako ya 0755667788 imejishindia TSH 6,000,000 kutoka TUZO  POINTI. Piga 0755667788 ili kupokea Pesa yako.",imethibitishwa namba yako imejishindia tsh kutoka tuzo pointi piga ili kupokea pesa yako
scam,"Dear, No need to go out work, just at home to earn 4,000,000TZS a day, please contact us: https://wa.me/2550747878264",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,MZEE JUMANNE YASINI MASAKA tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0698018072)(0698018072),mzee jumanne yasini masaka tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,"TUZO  POINTI hongera umepata zawadi Sh2,000,000 milioni kutoka (TUZO  POINTI) piga sim,.0689592818 kupata zawadi  asante",tuzo pointi hongera umepata zawadi sh milioni kutoka tuzo pointi piga sim kupata zawadi asante
scam,"Dear, No need to go out work, just at home to earn 6,000,000TZS a day, please contact us: https://wa.me/2550747878264",dear no need to go out work just at home to earn tzs a day please contact us httpswame
scam,Nitumie tu kwenye hii Halotel 0615810764 jina PETER NYANGE.,nitumie tu kwenye halotel jina peter nyange
trust,Kesho tuna kikao saa nane.,kesho tuna kikao saa nane
scam,Iyo ela tuma humu kwenye tigo 0696530433 Jina lije NASHONI MBIRIBI,iyo ela tuma humu kwenye tigo jina lije nashoni mbiribi
trust,Kikao cha mtaa kimepangwa Jumamosi saa nne asubuhi.,kikao cha mtaa kimepangwa jumamosi saa nne asubuhi
scam,Nitumie tu kwenye hii voda 0617488472 jina SAID MTAALAM .,nitumie tu kwenye voda jina said mtaalam
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JUMA SIKAREKO,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by juma sikarekoni grp member
scam,Tumia namba hii ya Tigo 0676584303 kutuma hiyo ela jina JENEROZA ROCK BENEDICTO,tumia namba tigo kutuma ela jina jeneroza rock benedicto
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,"Congratulations! Your CV has passed. You can get 10,000,000TZS in a day. for details: wa.me/2550657538690",congratulations your cv has passed you can get tzs in a day for details wame
trust,Nahitaji msaada wako kuhamasisha timu kuhusu project mpya tutafanyia kazi.,nahitaji msaada wako kuhamasisha timu kuhusu project mpya tutafanyia kazi
trust,Nitakuja saa kumi jioni kama tulivyokubaliana.,nitakuja saa kumi jioni kama tulivyokubaliana
trust,"Kaka yangu, safiri salama. Usisahau kuniandikia ukifika!",kaka safiri salama usisahau kuniandikia ukifika
trust,Nitumie ratiba ya kikao cha kesho tafadhali.,nitumie ratiba kikao cha kesho tafadhali
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0782734560 AU 0782734560",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
trust,Nimefurahi kupata nafasi ya kuzungumza nawe leo.,nimefurahi kupata nafasi kuzungumza nawe leo
trust,"Bro, Arsenal wameshinda tena! Nafikiri wanarudi kwenye ubora wao wa zamani.",bro arsenal wameshinda tena nafikiri wanarudi kwenye ubora wa zamani
scam,Iyo ela tuma humu kwenye voda 0782734560 Jina lije HOSEA MKUMBUKWA.,iyo ela tuma humu kwenye voda jina lije hosea mkumbukwa
trust,Tunaweza kufanya outing weekend hii? Tuonyeshe mji na vitu vipya ulivyonunua.,tunaweza kufanya outing weekend tuonyeshe mji vitu vipya ulivyonunua
scam,"IYO PESA ITUME KWENYE NAMBA HII 0655251448 JINA ITALETA FEBU SHADI WILISON NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta febu shadi wilison nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
trust,Tafadhali nipatie namba ya dereva wa boda.,tafadhali nipatie namba dereva wa boda
scam,mjukuu wangu utafuta ji wako mgumu Hela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0716484506,mjukuu wangu utafuta ji wako mgumu hela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
scam,Iyo Pesa itume humu kwenye TIGO 0782734560 jina lije ALLY ISSA.,iyo pesa itume humu kwenye tigo jina lije ally issa
trust,"Pole sana ndugu yangu, umepitia pagumu baba. Una mke mzuri amekuweka ktk Hali nzuri Muda wote.",pole ndugu umepitia pagumu baba una mke mzuri amekuweka ktk hali nzuri muda wote
scam,ela tuma kwa namba hii 0783654321 jina NASHONI MBIRIBI,ela tuma namba jina nashoni mbiribi
trust,Unataka chai au kahawa?,unataka chai kahawa
scam,Nitumie tu kwenye hii Airtel 0733822240 jina SALOME KALUNGA.,nitumie tu kwenye airtel jina salome kalunga
scam,TUMIA NAMBA HII (0689933027)KUNITUMIA IYO HELA JINA LITAONYESHA (JUMANNE YASINI MASAKA),tumia namba kunitumia iyo hela jina litaonyesha jumanne yasini masaka
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0696530433",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
trust,"Leo tutoke out? Kuna sehemu mpya nimegundua, najua utaipenda.",leo tutoke out kuna sehemu mpya nimegundua najua utaipenda
trust,"Hey, naomba nitumie picha ile ya mwisho ulionyesha kwenye chat yetu.",hey naomba nitumie picha ile mwisho ulionyesha kwenye chat
scam,Utanitumia kwenye ii 0755896103 airtel jina SALOME KALUNGA namba yangu inadeni usiitumie,utanitumia kwenye ii airtel jina salome kalunga namba inadeni usiitumie
trust,Nitahitaji invoice ya mwezi uliopita kwa ukaguzi wa hesabu.,nitahitaji invoice mwezi uliopita ukaguzi wa hesabu
trust,Daaaah... Hiyo ya nyumba ni hatariii aseee,daaaah nyumba hatariii aseee
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By LUKA KIMBANGU,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by luka kimbanguni grp member
scam,"IYO PESA ITUME KWENYE NAMBA HII 0781476081 JINA ITALETA NASHONI MBIRIBI NIMEAZIMA SIMU KWA WAKALA HAPA LAINI YANGU NATATIZO UPANDE WA KUPOKEA PESA, ASANTE",iyo pesa itume kwenye namba jina italeta nashoni mbiribi nimeazima simu wakala hapa laini natatizo upande wa kupokea pesa asante
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0655251448,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
scam,Habari za asubuhi. Mimi  mwenye nyumba wako hii namba yangu ya VODACOM. Mbona kimya na siku zinazidi kwenda...?,habari asubuhi mwenye nyumba wako namba vodacom mbona kimya siku zinazidi kwenda
scam,MZEE KHADIJA SUMBAI tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0617488472)(0617488472),mzee khadija sumbai tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
trust,Safi mwamba kazi kwanza. Harafu sio lazima sana,safi mwamba kazi kwanza harafu sio lazima
trust,Tafadhali nitumie picha.,tafadhali nitumie picha
scam,Utanitumia kwa hîi AIRTEL 0782734560 j'ina ni LUKA KIMBANGU.,utanitumia hîi airtel jina luka kimbangu
trust,"Kesho kuna kikao cha familia saa nne asubuhi, tafadhali usikose.",kesho kuna kikao cha familia saa nne asubuhi tafadhali usikose
trust,Uko sahihi mwamba,uko sahihi mwamba
scam,"Mpigie Mzee HOSEA MKUMBUKWA kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0698018072",mpigie mzee hosea mkumbukwa tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,MZEE PEREGIA FILIPO tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0699137921)(0699137921),mzee peregia filipo tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
trust,Tafadhali nipigie simu ukishapata muda.,tafadhali nipigie simu ukishapata muda
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By JOACHIM KAPUFI,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by joachim kapufini grp member
scam,"Congratulations! Your CV has passed. You can get 1,500,000TZS in a day. for details: wa.me/2550657538690",congratulations your cv has passed you can get tzs in a day for details wame
trust,"Shule yetu inahitaji vifaa vya kujifunzia, unaweza kusaidia kutoa taarifa?",shule inahitaji vifaa vya kujifunzia unaweza kusaidia kutoa taarifa
trust,Tutaenda wapi kusherehekea siku yako?,tutaenda wapi kusherehekea siku yako
trust,"Nitapika wali na mboga leo jioni, unanunua nyama au mimi nibebe?",nitapika wali mboga leo jioni unanunua nyama nibebe
scam,Samahani naomba itume kwenye Tigo 0789723456 Ester kalobelo.,samahani naomba itume kwenye tigo ester kalobelo
scam,Nitumie tu kwenye hii AIRTEL 0696530433 jina JUMA SIKAREKO.,nitumie tu kwenye airtel jina juma sikareko
trust,Habari za asubuhi?,habari asubuhi
trust,Simba na Yanga ni classic derby! Hakuna mechi inayovutia kama hii hapa nchini.,simba yanga classic derby hakuna mechi inayovutia kama hapa nchini
scam,Ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani   akipatikana nijulishe  analipwa na ofisi zetu kampuni azam awe muaminifu,ndugu naomba unitafutie kijana awetandiboi wangu kwenye lori kulekea mikoani akipatikana nijulishe analipwa ofisi zetu kampuni azam awe muaminifu
scam,Nitumie tu kwenye hii Vodacom 0783582817 jina ALLY ISSA.,nitumie tu kwenye vodacom jina ally issa
trust,"Nimesikia kuna tamasha kesho mjini, una mpango wa kwenda?",nimesikia kuna tamasha kesho mjini una mpango wa kwenda
scam,"Imethibitishwa, namba yako ya 0698945621 imejishindia TSH 170,000 kutoka Tuzo point. Piga 0698945621 ili kupokea ela yako.",imethibitishwa namba yako imejishindia tsh kutoka tuzo point piga ili kupokea ela yako
trust,Ningependa kujua kama uko tayari kwa mtihani wa kesho. tusome pamoja.,ningependa kujua kama uko tayari mtihani wa kesho tusome pamoja
scam,MPIGIE MZEE JUMANNE YASINI MASAKA WA TIBA ASILI. MALI. PETE. NYOTA. UZAZI. KUPANDISHWA CHEO KAZINI. KULUDISHA MALI ILIYOPOTEA. NAMBA 0784862618,mpigie mzee jumanne yasini masaka wa tiba asili mali pete nyota uzazi kupandishwa cheo kazini kuludisha mali iliyopotea namba
scam,Utanitumia. kwemye namba 0784862618 ya AIRTEL jina FEBU SHADI WILISON.,utanitumia kwemye namba airtel jina febu shadi wilison
trust,​​nipo live hapa naona chama langu,nipo live hapa naona chama langu
scam,Nitumie tu kwenye hii HALOTEL 0767274553 jina MARIAM NDUGAI.,nitumie tu kwenye halotel jina mariam ndugai
scam,"Mpigie Mzee RAMATUNGU kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0781476081",mpigie mzee ramatungu tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By HADIJA LAI,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by hadija laini grp member
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA VODACOM NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya vodacom nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,au iyo ela nitumie kwenye M-Pesa hii 0782734560 Jina litoke 0782734560.,iyo ela nitumie kwenye mpesa jina litoke
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0773409724",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
trust,Nisaidie na namba ya fundi.,nisaidie namba fundi
trust,Asante kwa kunipa taarifa muhimu.,asante kunipa taarifa muhimu
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0698018072",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0657666983 AU 0657666983",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
scam,Basi iyo hela nitumie kwenye namba hii 0698018072 jina litakuja (HOSEA MKUMBUKWA) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja hosea mkumbukwa ile namba usitumie laini inamatatizo
scam,au iyo ela nitumie kwenye M-Pesa hii 0783654321 Jina litoke 0783654321.,iyo ela nitumie kwenye mpesa jina litoke
scam,"666,KARIBU FREEMASON UTIMIZE NDOTO KATIKA BIASHARA, KILIMO,UFUGAJI,MACHI MBO,MICHEZO N.K KWAMHITAJI KUJIUNGA PG: 0655251448 AU 0655251448",karibu freemason utimize ndoto biashara kilimoufugajimachi mbomichezo nk kwamhitaji kujiunga pg
trust,Real Madrid wamepoteza mwelekeo tangu Benzema aondoke. Nafikiri wanamhitaji striker mpya.,real madrid wamepoteza mwelekeo tangu benzema aondoke nafikiri wanamhitaji striker mpya
trust,Pongezi kwa kazi nzuri unayoifanya!,pongezi kazi nzuri unayoifanya
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0787-406-889 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA tigo NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya tigo nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA HALOTEL NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya halotel nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,"TUZO POINT hongera umepata zawadi Sh2,000,000 milioni kutoka (TUZO POINT) piga sim,.0733822240 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0698018072 au 0698018072",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
scam,Utanitumia kwa hîi Airtel 0716484506 j'ina ni HADIJA LAI.,utanitumia hîi airtel jina hadija lai
scam,Au nitumie kwenye Tigopesa Namba.0781476081 jina litakuja JUMA SIKAREKO,nitumie kwenye tigopesa namba jina litakuja juma sikareko
trust,"Asante kwa kunikumbusha kuhusu chakula cha mchana, nimejua wakati wa kuandaa.",asante kunikumbusha kuhusu chakula cha mchana nimejua wakati wa kuandaa
scam,Iyo ela tuma humu kwenye vodacom 0617488472 Jina lije SAID MTAALAM ,iyo ela tuma humu kwenye vodacom jina lije said mtaalam
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0784862618",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,"KARIBU UJIUNGE NA CHAMA CHA (666)FREE'MASON UBADILISHE MAISHA YAKO.MILIKI MALI,PESA(UTAJIRI) MAJUMBA NA MAGARI BILA KAFALA PIGA 0788542784 au 0788542784",karibu ujiunge chama cha freemason ubadilishe maisha yakomiliki malipesautajiri majumba magari bila kafala piga
trust,Drama ya Mastaa Bongo haitakoma! Nasikia wakubwa wawili wamegombana kuhusu collabo.,drama mastaa bongo haitakoma nasikia wakubwa wawili wamegombana kuhusu collabo
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By KHADIJA SUMBAI,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by khadija sumbaini grp member
trust,Kuna beef mpya kati ya kina Ommy Dimpoz na wasanii wa Konde Gang. Ni drama tu!,kuna beef mpya kati kina ommy dimpoz wasanii wa konde gang drama tu
scam,"Imethibitishwa, namba yako ya 0782734560 imejishindia TSH 6,000,000 kutoka Tuzo Point. Piga 0782734560 ili kupokea hela yako.",imethibitishwa namba yako imejishindia tsh kutoka tuzo point piga ili kupokea hela yako
scam,MZEE ABDALLAH MWANAKU tiba asili biashala kazi masomo utajili kesi kuludisha mke&mume piga (0657666983)(0657666983),mzee abdallah mwanaku tiba asili biashala kazi masomo utajili kesi kuludisha mkemume piga
scam,Tumia namba hii ya vodacom 0750335946 kutuma hiyo pesa jina JOACHIM KAPUFI,tumia namba vodacom kutuma pesa jina joachim kapufi
scam,HABARI ZAUKO NI MIMI MWENYE NYUMBA WAKO MNA ENDEREAJE APO NYUMBANI IYO NAMBA YANGU MPYA YA Tigo NAKUMBUSHIA KODI YANGU  MANA NAONA KIMYA SANA NAOMBA TUWA SIRIANE,habari zauko mwenye nyumba wako mna endereaje apo nyumbani iyo namba mpya tigo nakumbushia kodi mana naona kimya naomba tuwa siriane
scam,au iyo ela nitumie kwenye Tigopesa hii 0655251448 Jina litoke 0655251448.,iyo ela nitumie kwenye tigopesa jina litoke
scam,"(6,6,6)HABARI EWE MTANZANIA SASA MLANGO UMEFUNGULIWA JIUNGE NAMATAJIRI, BILA KUTOA KAFALA YA BINADAM UTAPEWA MTAJI,ONGEA NA WAKALA WETU:0689592818",habari ewe mtanzania sasa mlango umefunguliwa jiunge namatajiri bila kutoa kafala binadam utapewa mtajiongea wakala
scam,Basi iyo hela nitumie kwenye namba hii 0755896103 jina litakuja (JUMANNE YASINI MASAKA) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja jumanne yasini masaka ile namba usitumie laini inamatatizo
trust,Nataka niongee na wewe kuhusu project hii.,nataka niongee kuhusu project
scam,TUMIA NAMBA HII (0676584303)KUNITUMIA IYO HELA JINA LITAONYESHA (MARIAM NDUGAI),tumia namba kunitumia iyo hela jina litaonyesha mariam ndugai
scam,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota sana mpenzi hamuelewani je utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze NO .. 0676584303,mjukuu wangu utafuta ji wako mgumu ela hazikai mkononi pakazinaisha unasota mpenzi hamuelewani utatunza siri nikikusaidia pesa bila mashaliti magumu nipigie nikwelekeze no
scam,"Habari za mda huu,mimi MWANAIDI KHAMISI,hii namba yangu ya AIRTEL.Vp mbona shem MWANAIDI KHAMISI, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari mda huumimi mwanaidi khamisihii namba airtelvp mbona shem mwanaidi khamisi anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
trust,Napenda sana kazi zako,napenda kazi zako
scam,"Xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu 9 nitakurefund nikifika plx By ABDALLAH MWANAKU,ni grp member",xorry nipo xafari nina xhida kwel nakuomba unixaidie sh elfu nitakurefund nikifika plx by abdallah mwanakuni grp member
scam,Iyo Pesa itume humu kwenye Halotel 0755667788 jina lije Magomba Maila.,iyo pesa itume humu kwenye halotel jina lije magomba maila
scam,Mjukuu wangu ndagu niliyokukabizi hiyo uwe makini na pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa kwa mda mfupi sasa umeona mwenyewe na siri hiyo usitowe kwa mtu yoyote utajili huo ni mkubwa sana utaweza kuweka miladi ya kira aina popote pale unipigie nikuelekeze.,mjukuu wangu ndagu niliyokukabizi uwe makini pesa hizo zinazokuja usiogope ndio mafanikio yako si nilikwambia utafanikiwa mda mfupi sasa umeona mwenyewe siri usitowe mtu yoyote utajili huo mkubwa utaweza kuweka miladi kira aina popote pale unipigie nikuelekeze
scam,We need urgently Need Staff salary 120000TZS. Reach HR team at: wa.me/2550689933027.,we need urgently need staff salary tzs reach hr team at wame
scam,Iyo hela itume humu kwenye Airtel 0789723456 jina lije Magomba Maila.,iyo hela itume humu kwenye airtel jina lije magomba maila
trust,Tunakupenda,tunakupenda
scam,"We need urgently Need Staff salary 1,500,000TZS. Reach HR team at: wa.me/2550675259049.",we need urgently need staff salary tzs reach hr team at wame
scam,Naomba unitumie iyo Pesa kwenye namba hii ya Airtel 0657666983. jina (Magomba Maila),naomba unitumie iyo pesa kwenye namba airtel jina magomba maila
trust,"Je, umepata tiketi ya kuhudhuria tamasha la muziki kesho?",umepata tiketi kuhudhuria tamasha la muziki kesho
scam,"Tuzo point hongera umepata zawadi Sh1,500,000 milioni kutoka (Tuzo point) piga sim,.0784862618 kupata zawadi  asante",tuzo point hongera umepata zawadi sh milioni kutoka tuzo point piga sim kupata zawadi asante
scam,Basi iyo hela nitumie kwenye namba hii 0698945621 jina litakuja (LINUSI MALALO) ile namba usitumie laini inamatatizo.,basi iyo hela nitumie kwenye namba jina litakuja linusi malalo ile namba usitumie laini inamatatizo
trust,"Tafadhali nipigie simu ukiwa na muda, kuna kitu muhimu nataka kuzungumza.",tafadhali nipigie simu ukiwa muda kuna kitu muhimu nataka kuzungumza
scam,"VODA OFA hongera umepata zawadi Sh170,000 milioni kutoka (VODA OFA) piga sim,.0615810764 kupata zawadi  asante",voda ofa hongera umepata zawadi sh milioni kutoka voda ofa piga sim kupata zawadi asante
scam,"Mpigie Mzee Ester kalobelo kwa tiba asili miliki mali,utajiri pete,kazi,kesi,masomo mapenzi,kilimo,ufugaji,biashara Piga 0783582817",mpigie mzee ester kalobelo tiba asili miliki maliutajiri petekazikesimasomo mapenzikilimoufugajibiashara piga
scam,Au nitumie kwenye m-pesa Namba.0786543210 jina litakuja NASHONI MBIRIBI,nitumie kwenye mpesa namba jina litakuja nashoni mbiribi
scam,Au nitumie kwenye AirtelMoney Namba.0787-406-889 jina litakuja LUKA KIMBANGU,nitumie kwenye airtelmoney namba jina litakuja luka kimbangu
trust,"Pole na kazi, usijisahau kula chakula.",pole kazi usijisahau kula chakula
trust,"Mambo vipi, umesikia Diamond na Zuchu wana collabo mpya inakuja wiki ijayo?",mambo vipi umesikia diamond zuchu wana collabo mpya inakuja wiki ijayo
scam,"Habari za asubuhi,mimi JENEROZA ROCK BENEDICTO,hii namba yangu ya VODACOM.Vp mbona shem JENEROZA ROCK BENEDICTO, anakupigia hupatikan tatizo mtandao nn?basi mkiwasiliana naomba nijulishe kwenye namba hii kwa meseji simu yangu imekufa maik ndugu yangu.",habari asubuhimimi jeneroza rock benedictohii namba vodacomvp mbona shem jeneroza rock benedicto anakupigia hupatikan tatizo mtandao nnbasi mkiwasiliana naomba nijulishe kwenye namba meseji simu imekufa maik ndugu
scam,TUMIA NAMBA HII (0773409724)KUNITUMIA IYO HELA JINA LITAONYESHA (KHADIJA SUMBAI),tumia namba kunitumia iyo hela jina litaonyesha khadija sumbai
trust,"Pole kwa usumbufu, ilikuwa ni dharura.",pole usumbufu ilikuwa dharura
scam,FRIIMASON TIMIZA NDOTO KUMILIKI PESA MAJUMBA NA MAGARI YA KIFAHARI PIA KUZA BIASHARA VIPAJI NYOTA NA PETE. TUPIGIE SIMU 0781476081 UKIWA TAYARI KUJIUNGA,friimason timiza ndoto kumiliki pesa majumba magari kifahari pia kuza biashara vipaji nyota pete tupigie simu ukiwa tayari kujiunga
